--------- beginning of main
--------- beginning of system
08-05 02:09:16.469  9658 16016 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:17.279  9658 16066 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=1,misses=9,hitRate=10%]', 
08-05 02:09:17.280  9658 16066 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.288  9658 16060 D CustomInterceptor: NETWORK-PROVIDER https://i.cbc.ca/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg
08-05 02:09:17.288  9658 16060 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.288  9658 16060 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.289  9658 16060 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=1,misses=10,hitRate=9%]', 
08-05 02:09:17.289  9658 16060 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.299  9658 16065 D CustomInterceptor: NETWORK-PROVIDER https://pbs.twimg.com/profile_images/847818629840228354/VXyQHfn0_normal.jpg
08-05 02:09:17.300  9658 16065 D CustomInterceptor: HEADER REQUEST
08-05 02:09:17.300  9658 16065 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:17.300  9658 16065 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=1,misses=11,hitRate=8%]', 
08-05 02:09:17.300  9658 16065 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:17.337  9658 16046 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Cache-Control max-age=3600
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Content-Length 43
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Content-Type image/gif
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:13 GMT
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Expires Wed, 05 Aug 2020 01:09:13 GMT
08-05 02:09:17.337  9658 16046 D CustomInterceptor: Server GSE
08-05 02:09:17.337  9658 16046 D CustomInterceptor: X-Content-Type-Options nosniff
08-05 02:09:17.337  9658 16046 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-05 02:09:17.337  9658 16046 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.337  9658 16046 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:17.338  9658 16046 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.338  9658 16046 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:17.339  9658 16046 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.692  9658 16065 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.693  9658 16065 D CustomInterceptor: accept-ranges bytes
08-05 02:09:17.693  9658 16065 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:17.693  9658 16065 D CustomInterceptor: access-control-expose-headers Content-Length
08-05 02:09:17.693  9658 16065 D CustomInterceptor: age 343659
08-05 02:09:17.693  9658 16065 D CustomInterceptor: cache-control max-age=604800, must-revalidate
08-05 02:09:17.693  9658 16065 D CustomInterceptor: content-length 1883
08-05 02:09:17.693  9658 16065 D CustomInterceptor: content-type image/jpeg
08-05 02:09:17.693  9658 16065 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:13 GMT
08-05 02:09:17.693  9658 16065 D CustomInterceptor: last-modified Fri, 07 Apr 2017 20:48:38 GMT
08-05 02:09:17.693  9658 16065 D CustomInterceptor: server ECS (amb/6B75)
08-05 02:09:17.693  9658 16065 D CustomInterceptor: strict-transport-security max-age=631138519
08-05 02:09:17.694  9658 16065 D CustomInterceptor: surrogate-key profile_images profile_images/bucket/7 profile_images/847818629840228354
08-05 02:09:17.694  9658 16065 D CustomInterceptor: x-cache HIT
08-05 02:09:17.694  9658 16065 D CustomInterceptor: x-connection-hash 5bc2acd143b42e333e34589eb452e880
08-05 02:09:17.694  9658 16065 D CustomInterceptor: x-content-type-options nosniff
08-05 02:09:17.694  9658 16065 D CustomInterceptor: x-response-time 123
08-05 02:09:17.694  9658 16065 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.694  9658 16065 D CustomInterceptor: REQ https://pbs.twimg.com/profile_images/847818629840228354/VXyQHfn0_normal.jpg
08-05 02:09:17.694  9658 16065 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.694  9658 16065 D CustomInterceptor: PREFLIB Adding response to lrucache - https://pbs.twimg.com/profile_images/847818629840228354/VXyQHfn0_normal.jpg
08-05 02:09:17.700  9658 16065 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.715  9658 16056 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.716  9658 16056 D CustomInterceptor: accept-ranges bytes
08-05 02:09:17.716  9658 16056 D CustomInterceptor: access-control-allow-headers X-Requested-With
08-05 02:09:17.716  9658 16056 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:17.716  9658 16056 D CustomInterceptor: cache-control public, max-age=31557600
08-05 02:09:17.716  9658 16056 D CustomInterceptor: content-length 56376
08-05 02:09:17.716  9658 16056 D CustomInterceptor: content-type image/jpeg
08-05 02:09:17.716  9658 16056 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:13 GMT
08-05 02:09:17.716  9658 16056 D CustomInterceptor: etag "437a696a349f51922bbe425cbbf1673b"
08-05 02:09:17.716  9658 16056 D CustomInterceptor: last-modified Tue, 04 Aug 2020 15:31:20 GMT
08-05 02:09:17.716  9658 16056 D CustomInterceptor: server nginx
08-05 02:09:17.716  9658 16056 D CustomInterceptor: server-timing akam;dur=33;start=2020-07-28T09:12:08.228Z;total=491;desc=miss,rtt;dur=0
08-05 02:09:17.716  9658 16056 D CustomInterceptor: status 200 OK
08-05 02:09:17.716  9658 16056 D CustomInterceptor: timing-allow-origin *
08-05 02:09:17.716  9658 16056 D CustomInterceptor: vary User-Agent
08-05 02:09:17.716  9658 16056 D CustomInterceptor: via 1.1 varnish
08-05 02:09:17.716  9658 16056 D CustomInterceptor: x-cache HIT, HIT
08-05 02:09:17.716  9658 16056 D CustomInterceptor: x-cache-hits 1, 1
08-05 02:09:17.717  9658 16056 D CustomInterceptor: x-cld-vary User-Agent
08-05 02:09:17.717  9658 16056 D CustomInterceptor: x-request-id 6b3617c9242430f089caa1d322b343a6
08-05 02:09:17.717  9658 16056 D CustomInterceptor: x-served-by cache-bwi5143-BWI, cache-ams21045-AMS
08-05 02:09:17.717  9658 16056 D CustomInterceptor: x-timer S1595958603.517924,VS0,VE1
08-05 02:09:17.717  9658 16056 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.717  9658 16056 D CustomInterceptor: REQ https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg
08-05 02:09:17.717  9658 16056 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.717  9658 16056 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-quit-after-covid.jpg
08-05 02:09:17.742  9658 16060 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.742  9658 16060 D CustomInterceptor: cache-control no-transform, max-age=43200
08-05 02:09:17.742  9658 16060 D CustomInterceptor: content-length 24098
08-05 02:09:17.742  9658 16060 D CustomInterceptor: content-type image/jpeg
08-05 02:09:17.742  9658 16060 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:13 GMT
08-05 02:09:17.742  9658 16060 D CustomInterceptor: expires Wed, 05 Aug 2020 12:09:13 GMT
08-05 02:09:17.742  9658 16060 D CustomInterceptor: last-modified Tue, 04 Aug 2020 05:41:12 GMT
08-05 02:09:17.742  9658 16060 D CustomInterceptor: server Akamai Image Manager
08-05 02:09:17.742  9658 16060 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.742  9658 16060 D CustomInterceptor: REQ https://i.cbc.ca/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg
08-05 02:09:17.743  9658 16060 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.743  9658 16060 D CustomInterceptor: PREFLIB Adding response to lrucache - https://i.cbc.ca/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg
08-05 02:09:17.748  9658 16053 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.748  9658 16053 D CustomInterceptor: accept-ranges bytes
08-05 02:09:17.748  9658 16053 D CustomInterceptor: access-control-allow-headers X-Requested-With
08-05 02:09:17.748  9658 16053 D CustomInterceptor: access-control-allow-origin *
08-05 02:09:17.748  9658 16053 D CustomInterceptor: cache-control public, max-age=31557600
08-05 02:09:17.748  9658 16053 D CustomInterceptor: content-length 79351
08-05 02:09:17.748  9658 16053 D CustomInterceptor: content-type image/png
08-05 02:09:17.748  9658 16053 D CustomInterceptor: date Wed, 05 Aug 2020 00:09:13 GMT
08-05 02:09:17.748  9658 16053 D CustomInterceptor: etag "b17a734fb67cc334f872374df18d4823"
08-05 02:09:17.748  9658 16053 D CustomInterceptor: last-modified Tue, 04 Aug 2020 17:32:25 GMT
08-05 02:09:17.748  9658 16053 D CustomInterceptor: server nginx
08-05 02:09:17.748  9658 16053 D CustomInterceptor: server-timing akam;dur=60;start=2020-07-28T11:13:12.502Z;total=1330;desc=miss,rtt;dur=0
08-05 02:09:17.748  9658 16053 D CustomInterceptor: status 200 OK
08-05 02:09:17.748  9658 16053 D CustomInterceptor: timing-allow-origin *
08-05 02:09:17.748  9658 16053 D CustomInterceptor: vary User-Agent
08-05 02:09:17.748  9658 16053 D CustomInterceptor: via 1.1 varnish
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-cache HIT, HIT
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-cache-hits 1, 1
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-cld-vary User-Agent
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-request-id 118e90281c8e5540ce13bb2507dc55c0
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-served-by cache-bwi5145-BWI, cache-ams21045-AMS
08-05 02:09:17.749  9658 16053 D CustomInterceptor: x-timer S1595958603.567940,VS0,VE1
08-05 02:09:17.749  9658 16053 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.749  9658 16053 D CustomInterceptor: REQ https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 02:09:17.749  9658 16053 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.749  9658 16053 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 02:09:17.753  9658 16056 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.803  9658 16060 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.808  9658 16045 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.810  9658 16045 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Content-Length 145
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Content-Type image/png
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:17.810  9658 16045 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 20:16:00 GMT
08-05 02:09:17.810  9658 16045 D CustomInterceptor: Server AmazonS3
08-05 02:09:17.810  9658 16045 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-05 02:09:17.810  9658 16045 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-05 02:09:17.810  9658 16045 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.810  9658 16045 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 02:09:17.810  9658 16045 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.811  9658 16045 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 02:09:17.811  9658 16047 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.812  9658 16047 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Content-Length 243
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Content-Type image/png
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:17.812  9658 16047 D CustomInterceptor: ETag "ff3726165bbd11816de674a75693fba7"
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 00:23:10 GMT
08-05 02:09:17.812  9658 16047 D CustomInterceptor: Server AmazonS3
08-05 02:09:17.812  9658 16047 D CustomInterceptor: x-amz-id-2 wne6NNWwn08ntKiKKy9kUukC8PyYkR/ZQjdI2daB9u3xPvfEXggbnrzXM/bpIcjfZt7xqxMiHNE=
08-05 02:09:17.813  9658 16047 D CustomInterceptor: x-amz-request-id 8C96FD80B0A0B0DD
08-05 02:09:17.813  9658 16047 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.813  9658 16047 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 02:09:17.813  9658 16047 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.813  9658 16047 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-05 02:09:17.833  9658 16053 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.833  9658 16045 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.840  9658 16047 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.901  9658 16054 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.902  9658 16054 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.902  9658 16054 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:17.902  9658 16054 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Content-Length 477
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Content-Type image/png
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:17.903  9658 16054 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 23:46:12 GMT
08-05 02:09:17.903  9658 16054 D CustomInterceptor: Server AmazonS3
08-05 02:09:17.903  9658 16054 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-05 02:09:17.903  9658 16054 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-05 02:09:17.903  9658 16054 D CustomInterceptor: CACHEABLE true
08-05 02:09:17.903  9658 16054 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.903  9658 16054 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:17.903  9658 16054 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 02:09:17.941  9658 16054 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:17.962  9658 16066 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:17.963  9658 16066 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:17.963  9658 16066 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:17.963  9658 16066 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:17.963  9658 16066 D CustomInterceptor: Content-Length 796
08-05 02:09:17.964  9658 16066 D CustomInterceptor: Content-Type image/png
08-05 02:09:17.964  9658 16066 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:14 GMT
08-05 02:09:17.964  9658 16066 D CustomInterceptor: ETag "24c57573e7ba93e56f4d2ba16c9d2b26"
08-05 02:09:17.964  9658 16066 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:17 GMT+00:00
08-05 02:09:17.964  9658 16066 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 07:05:41 GMT
08-05 02:09:17.964  9658 16066 D CustomInterceptor: Server AmazonS3
08-05 02:09:17.964  9658 16066 D CustomInterceptor: x-amz-id-2 9DRaJufWP45fA05qYB5LACqA8MYn9maTIhhgSuZGftrS8Dm+YozVs6LXwJVzSwPwFjOpSnNNFYU=
08-05 02:09:17.964  9658 16066 D CustomInterceptor: x-amz-request-id A328D1BEBD912F67
