--------- beginning of main
--------- beginning of system
08-03 19:48:40.136 13477  6410 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-03 19:48:46.278 13477  6594 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Connection close
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Content-Type application/json
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:41 GMT
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:46 GMT+00:00
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Server gunicorn/19.7.0
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-03 19:48:46.278 13477  6594 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-03 19:48:46.278 13477  6594 D CustomInterceptor: X-gunicorn-server app12
08-03 19:48:46.279 13477  6594 D CustomInterceptor: X-Homer Save me, Jeebus.
08-03 19:48:46.279 13477  6594 D CustomInterceptor: CACHEABLE true
08-03 19:48:46.279 13477  6594 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 19:48:46.279 13477  6594 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:46.279 13477  6594 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-03 19:48:46.283 13477  6594 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:46.421 13477  6621 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 19:48:46.422 13477  6621 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.422 13477  6621 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.422 13477  6621 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-03 19:48:46.422 13477  6621 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.438 13477  6622 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 19:48:46.438 13477  6622 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.439 13477  6622 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.439 13477  6622 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-03 19:48:46.439 13477  6622 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.444 13477  6623 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 19:48:46.444 13477  6623 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.444 13477  6623 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.444 13477  6623 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=3,misses=5,hitRate=37%]', 
08-03 19:48:46.444 13477  6623 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.450 13477  6624 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 19:48:46.451 13477  6624 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.451 13477  6624 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.451 13477  6624 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-03 19:48:46.451 13477  6624 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.457 13477  6626 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 19:48:46.458 13477  6626 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.458 13477  6626 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.458 13477  6626 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=3,misses=7,hitRate=30%]', 
08-03 19:48:46.458 13477  6626 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.467 13477  6628 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 19:48:46.467 13477  6628 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.467 13477  6628 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.467 13477  6628 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-03 19:48:46.467 13477  6628 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.478 13477  6625 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:48:46.478 13477  6625 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.478 13477  6625 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.479 13477  6625 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-03 19:48:46.479 13477  6625 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.487 13477  6627 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-03 19:48:46.487 13477  6627 D CustomInterceptor: HEADER REQUEST
08-03 19:48:46.487 13477  6627 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:46.487 13477  6627 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-03 19:48:46.487 13477  6627 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:46.534 13477  6625 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Cache-Control max-age=3600
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Content-Length 43
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Content-Type image/gif
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:42 GMT
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Expires Mon, 03 Aug 2020 18:48:42 GMT
08-03 19:48:46.535 13477  6625 D CustomInterceptor: Server GSE
08-03 19:48:46.535 13477  6625 D CustomInterceptor: X-Content-Type-Options nosniff
08-03 19:48:46.535 13477  6625 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-03 19:48:46.535 13477  6625 D CustomInterceptor: CACHEABLE true
08-03 19:48:46.535 13477  6625 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:48:46.535 13477  6625 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:46.535 13477  6625 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 19:48:46.536 13477  6625 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:46.793 13477  6621 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:46.800 13477  6621 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:46.856 13477  6627 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:46.856 13477  6627 D CustomInterceptor: accept-ranges bytes
08-03 19:48:46.856 13477  6627 D CustomInterceptor: access-control-allow-headers X-Requested-With
08-03 19:48:46.856 13477  6627 D CustomInterceptor: access-control-allow-origin *
08-03 19:48:46.856 13477  6627 D CustomInterceptor: cache-control public, max-age=31557600
08-03 19:48:46.857 13477  6627 D CustomInterceptor: content-length 79351
08-03 19:48:46.857 13477  6627 D CustomInterceptor: content-type image/png
08-03 19:48:46.857 13477  6627 D CustomInterceptor: date Mon, 03 Aug 2020 17:48:42 GMT
08-03 19:48:46.857 13477  6627 D CustomInterceptor: etag "b17a734fb67cc334f872374df18d4823"
08-03 19:48:46.857 13477  6627 D CustomInterceptor: last-modified Mon, 03 Aug 2020 11:11:54 GMT
08-03 19:48:46.857 13477  6627 D CustomInterceptor: server nginx
08-03 19:48:46.857 13477  6627 D CustomInterceptor: server-timing akam;dur=60;start=2020-07-28T11:13:12.502Z;total=1330;desc=miss,rtt;dur=0
08-03 19:48:46.857 13477  6627 D CustomInterceptor: status 200 OK
08-03 19:48:46.857 13477  6627 D CustomInterceptor: timing-allow-origin *
08-03 19:48:46.857 13477  6627 D CustomInterceptor: vary User-Agent
08-03 19:48:46.858 13477  6627 D CustomInterceptor: via 1.1 varnish
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-cache HIT, HIT
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-cache-hits 1, 1
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-cld-vary User-Agent
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-request-id 118e90281c8e5540ce13bb2507dc55c0
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-served-by cache-bwi5145-BWI, cache-ams21045-AMS
08-03 19:48:46.858 13477  6627 D CustomInterceptor: x-timer S1595958603.567940,VS0,VE1
08-03 19:48:46.858 13477  6627 D CustomInterceptor: CACHEABLE true
08-03 19:48:46.858 13477  6627 D CustomInterceptor: REQ https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-03 19:48:46.858 13477  6627 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:46.859 13477  6627 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-03 19:48:46.896 13477  6622 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:46.901 13477  6622 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:46.906 13477  6627 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:46.931 13477  6623 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 19:48:46.934 13477  6623 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 19:48:47.020 13477  6624 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:48:47.021 13477  6624 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Accept-Ranges bytes
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Content-Length 145
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Content-Type image/png
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:43 GMT
08-03 19:48:47.022 13477  6624 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:47 GMT+00:00
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Last-Modified Sun, 02 Aug 2020 13:55:29 GMT
08-03 19:48:47.022 13477  6624 D CustomInterceptor: Server AmazonS3
08-03 19:48:47.022 13477  6624 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-03 19:48:47.022 13477  6624 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-03 19:48:47.022 13477  6624 D CustomInterceptor: CACHEABLE true
08-03 19:48:47.022 13477  6624 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 19:48:47.022 13477  6624 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:47.022 13477  6624 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 19:48:47.050 13477  6624 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:47.073 13477  6626 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:48:47.074 13477  6626 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Accept-Ranges bytes
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Content-Length 243
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Content-Type image/png
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:43 GMT
08-03 19:48:47.074 13477  6626 D CustomInterceptor: ETag "ff3726165bbd11816de674a75693fba7"
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:47 GMT+00:00
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Last-Modified Sun, 02 Aug 2020 18:02:39 GMT
08-03 19:48:47.074 13477  6626 D CustomInterceptor: Server AmazonS3
08-03 19:48:47.074 13477  6626 D CustomInterceptor: x-amz-id-2 wne6NNWwn08ntKiKKy9kUukC8PyYkR/ZQjdI2daB9u3xPvfEXggbnrzXM/bpIcjfZt7xqxMiHNE=
08-03 19:48:47.074 13477  6626 D CustomInterceptor: x-amz-request-id 8C96FD80B0A0B0DD
08-03 19:48:47.074 13477  6626 D CustomInterceptor: CACHEABLE true
08-03 19:48:47.074 13477  6626 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 19:48:47.074 13477  6626 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:47.074 13477  6626 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 19:48:47.101 13477  6626 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:47.101 13477  6628 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 19:48:47.102 13477  6628 D CustomInterceptor: HEADER RESPONSE
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Accept-Ranges bytes
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Content-Length 477
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Content-Type image/png
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Date Mon, 03 Aug 2020 17:48:43 GMT
08-03 19:48:47.103 13477  6628 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:53:47 GMT+00:00
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 17:25:41 GMT
08-03 19:48:47.103 13477  6628 D CustomInterceptor: Server AmazonS3
08-03 19:48:47.103 13477  6628 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-03 19:48:47.103 13477  6628 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-03 19:48:47.103 13477  6628 D CustomInterceptor: CACHEABLE true
08-03 19:48:47.103 13477  6628 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 19:48:47.103 13477  6628 D CustomInterceptor: REQ_SERV_BY net
08-03 19:48:47.103 13477  6628 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 19:48:47.130 13477  6628 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 19:48:56.828 13477  6624 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 19:48:56.828 13477  6624 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.828 13477  6624 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:56.829 13477  6624 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=8,misses=11,hitRate=42%]', 
08-03 19:48:56.829 13477  6624 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:56.850 13477  6626 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:56.851 13477  6628 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:56.851 13477  6626 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.851 13477  6626 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:56.851 13477  6626 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-03 19:48:56.851 13477  6626 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:56.852 13477  6628 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.852 13477  6628 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:56.852 13477  6628 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '13', toString = 'LruCache[maxSize=100,hits=8,misses=13,hitRate=38%]', 
08-03 19:48:56.852 13477  6628 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:56.856 13477  6622 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 19:48:56.857 13477  6622 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.857 13477  6622 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 19:48:56.857 13477  6622 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=8,misses=14,hitRate=36%]', 
08-03 19:48:56.857 13477  6622 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 19:48:56.863 13477  6621 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:56.863 13477  6623 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 19:48:56.864 13477  6621 D CustomInterceptor: HEADER REQUEST
08-03 19:48:56.864 13477  6621 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
