--------- beginning of main
--------- beginning of system
08-05 11:12:23.194 32681   415 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-user
08-05 11:12:23.897 32681   420 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:23.915 32681   415 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:23.915 32681   420 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:23.915 32681   415 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:23.915 32681   415 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:23.915 32681   420 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:23.915 32681   415 D CustomInterceptor: Connection keep-alive
08-05 11:12:23.915 32681   415 D CustomInterceptor: Content-Length 185
08-05 11:12:23.915 32681   420 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:23.915 32681   415 D CustomInterceptor: Content-Type application/json
08-05 11:12:23.915 32681   415 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:19 GMT
08-05 11:12:23.915 32681   420 D CustomInterceptor: Connection keep-alive
08-05 11:12:23.915 32681   415 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:23 GMT+00:00
08-05 11:12:23.915 32681   415 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:23.915 32681   420 D CustomInterceptor: Content-Length 1588
08-05 11:12:23.915 32681   415 D CustomInterceptor: Vary Accept
08-05 11:12:23.915 32681   420 D CustomInterceptor: Content-Type application/json
08-05 11:12:23.915 32681   415 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:23.915 32681   415 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:23.915 32681   420 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:19 GMT
08-05 11:12:23.915 32681   420 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:23 GMT+00:00
08-05 11:12:23.915 32681   420 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:23.915 32681   415 D CustomInterceptor: CACHEABLE true
08-05 11:12:23.915 32681   420 D CustomInterceptor: Vary Accept
08-05 11:12:23.915 32681   420 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:23.915 32681   420 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:23.915 32681   415 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-user
08-05 11:12:23.915 32681   420 D CustomInterceptor: CACHEABLE true
08-05 11:12:23.915 32681   415 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:23.915 32681   420 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-all-cities/10
08-05 11:12:23.915 32681   415 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-user
08-05 11:12:23.915 32681   420 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:23.915 32681   420 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-all-cities/10
08-05 11:12:23.917 32681   420 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:23.920 32681   415 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:24.302 32681   444 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:24.303 32681   444 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:24.303 32681   444 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:24.303 32681   444 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:24.304 32681   444 D CustomInterceptor: Connection keep-alive
08-05 11:12:24.304 32681   444 D CustomInterceptor: Content-Length 36
08-05 11:12:24.304 32681   444 D CustomInterceptor: Content-Type application/json
08-05 11:12:24.304 32681   444 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:19 GMT
08-05 11:12:24.304 32681   444 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:24 GMT+00:00
08-05 11:12:24.304 32681   444 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:24.304 32681   444 D CustomInterceptor: Vary Accept
08-05 11:12:24.304 32681   444 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:24.304 32681   444 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:24.304 32681   444 D CustomInterceptor: CACHEABLE true
08-05 11:12:24.304 32681   444 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications
08-05 11:12:24.304 32681   444 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:24.304 32681   444 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications
08-05 11:12:24.339 32681   444 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:27.924 32681   716 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-weather/1
08-05 11:12:27.924 32681   716 D CustomInterceptor: HEADER REQUEST
08-05 11:12:27.924 32681   716 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:27.925 32681   716 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:27.925 32681   716 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-05 11:12:27.925 32681   716 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:27.927 32681   717 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city/1
08-05 11:12:27.927 32681   717 D CustomInterceptor: HEADER REQUEST
08-05 11:12:27.927 32681   717 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:27.927 32681   717 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:27.927 32681   717 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '4', toString = 'LruCache[maxSize=100,hits=3,misses=4,hitRate=42%]', 
08-05 11:12:27.927 32681   717 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:28.763 32681   717 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:28.764 32681   717 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:28.764 32681   717 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:28.764 32681   717 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:28.765 32681   717 D CustomInterceptor: Connection keep-alive
08-05 11:12:28.765 32681   717 D CustomInterceptor: Content-Length 530
08-05 11:12:28.765 32681   717 D CustomInterceptor: Content-Type application/json
08-05 11:12:28.765 32681   717 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:24 GMT
08-05 11:12:28.765 32681   717 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:28 GMT+00:00
08-05 11:12:28.765 32681   717 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:28.765 32681   717 D CustomInterceptor: Vary Accept
08-05 11:12:28.765 32681   717 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:28.765 32681   717 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:28.765 32681   717 D CustomInterceptor: CACHEABLE true
08-05 11:12:28.765 32681   717 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-city/1
08-05 11:12:28.765 32681   717 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:28.765 32681   717 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-city/1
08-05 11:12:28.776 32681   716 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:28.777 32681   716 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:28.777 32681   716 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:28.777 32681   716 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:28.777 32681   716 D CustomInterceptor: Connection keep-alive
08-05 11:12:28.777 32681   716 D CustomInterceptor: Content-Length 238
08-05 11:12:28.777 32681   716 D CustomInterceptor: Content-Type application/json
08-05 11:12:28.777 32681   716 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:24 GMT
08-05 11:12:28.777 32681   716 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:28 GMT+00:00
08-05 11:12:28.777 32681   716 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:28.777 32681   716 D CustomInterceptor: Vary Accept
08-05 11:12:28.777 32681   716 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:28.778 32681   716 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:28.778 32681   716 D CustomInterceptor: CACHEABLE true
08-05 11:12:28.778 32681   716 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-city-weather/1
08-05 11:12:28.778 32681   716 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:28.778 32681   716 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-city-weather/1
08-05 11:12:28.800 32681   717 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:28.809 32681   716 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:32.544 32681   887 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-information/1
08-05 11:12:32.545 32681   887 D CustomInterceptor: HEADER REQUEST
08-05 11:12:32.545 32681   887 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:32.545 32681   887 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:32.545 32681   887 D CustomInterceptor: CACHED STATS: size = '5', maxSize = '100', hitCount = '5', createCount = '0', putCount = '5', evictionCount = '0', missCount = '5', toString = 'LruCache[maxSize=100,hits=5,misses=5,hitRate=50%]', 
08-05 11:12:32.545 32681   887 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:33.046 32681   887 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:33.047 32681   887 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:33.047 32681   887 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:33.047 32681   887 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:33.047 32681   887 D CustomInterceptor: Connection keep-alive
08-05 11:12:33.047 32681   887 D CustomInterceptor: Content-Length 55024
08-05 11:12:33.047 32681   887 D CustomInterceptor: Content-Type application/json
08-05 11:12:33.047 32681   887 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:28 GMT
08-05 11:12:33.047 32681   887 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:33 GMT+00:00
08-05 11:12:33.047 32681   887 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:33.047 32681   887 D CustomInterceptor: Vary Accept
08-05 11:12:33.047 32681   887 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:33.047 32681   887 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:33.047 32681   887 D CustomInterceptor: CACHEABLE true
08-05 11:12:33.047 32681   887 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-city-information/1
08-05 11:12:33.048 32681   887 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:33.048 32681   887 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-city-information/1
08-05 11:12:33.050 32681   887 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:38.848 32681  1100 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-facts/1
08-05 11:12:38.849 32681  1100 D CustomInterceptor: HEADER REQUEST
08-05 11:12:38.849 32681  1100 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:38.849 32681  1100 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:38.849 32681  1100 D CustomInterceptor: CACHED STATS: size = '6', maxSize = '100', hitCount = '6', createCount = '0', putCount = '6', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=6,misses=6,hitRate=50%]', 
08-05 11:12:38.849 32681  1100 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:39.716 32681  1100 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:39.718 32681  1100 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Connection keep-alive
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Content-Length 1793
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Content-Type application/json
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:35 GMT
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:39 GMT+00:00
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Vary Accept
08-05 11:12:39.718 32681  1100 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:39.718 32681  1100 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:39.718 32681  1100 D CustomInterceptor: CACHEABLE true
08-05 11:12:39.718 32681  1100 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-city-facts/1
08-05 11:12:39.718 32681  1100 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:39.718 32681  1100 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-city-facts/1
08-05 11:12:39.720 32681  1100 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:39.724 32681  1122 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-images/1
08-05 11:12:39.725 32681  1122 D CustomInterceptor: HEADER REQUEST
08-05 11:12:39.725 32681  1122 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:39.725 32681  1122 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:39.725 32681  1122 D CustomInterceptor: CACHED STATS: size = '7', maxSize = '100', hitCount = '7', createCount = '0', putCount = '7', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=7,misses=7,hitRate=50%]', 
08-05 11:12:39.725 32681  1122 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:40.540 32681  1122 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 11:12:40.541 32681  1122 D CustomInterceptor: HEADER RESPONSE
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Allow GET, OPTIONS
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Connection keep-alive
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Content-Length 183
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Content-Type application/json
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Date Wed, 05 Aug 2020 09:12:36 GMT
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Expires Wed, 05 Aug 2020 09:17:40 GMT+00:00
08-05 11:12:40.541 32681  1122 D CustomInterceptor: Server gunicorn/19.8.1
08-05 11:12:40.542 32681  1122 D CustomInterceptor: Vary Accept
08-05 11:12:40.542 32681  1122 D CustomInterceptor: Via 1.1 vegur
08-05 11:12:40.542 32681  1122 D CustomInterceptor: X-Frame-Options SAMEORIGIN
08-05 11:12:40.542 32681  1122 D CustomInterceptor: CACHEABLE true
08-05 11:12:40.542 32681  1122 D CustomInterceptor: REQ https://project-travel-mate.herokuapp.com/api/get-city-images/1
08-05 11:12:40.542 32681  1122 D CustomInterceptor: REQ_SERV_BY net
08-05 11:12:40.542 32681  1122 D CustomInterceptor: PREFLIB Adding response to lrucache - https://project-travel-mate.herokuapp.com/api/get-city-images/1
08-05 11:12:40.570 32681  1122 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 11:12:43.155 32681  1235 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-facts/1
08-05 11:12:43.156 32681  1235 D CustomInterceptor: HEADER REQUEST
08-05 11:12:43.156 32681  1235 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:43.156 32681  1235 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:43.156 32681  1235 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=8,misses=8,hitRate=50%]', 
08-05 11:12:43.156 32681  1235 D CustomInterceptor: PREFLIB GET REQUEST https://project-travel-mate.herokuapp.com/api/get-city-facts/1
08-05 11:12:43.156 32681  1235 D CustomInterceptor: PREFLIB found https://project-travel-mate.herokuapp.com/api/get-city-facts/1, sending it back
08-05 11:12:43.156 32681  1235 D CustomInterceptor: CONTENT [{"id":2,"fact":"As early as in the year 1911, British announced to shift their capital from the then Calcutta to Delhi and it was shifted to Delhi in 1912.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"},{"id":3,"fact":"It has a population of 11 million and metropolitan population of 16.3 million. This makes city the second most populous city in India.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"},{"id":4,"fact":"Delhi has been inhabited since 6th It has been the capital of many empires, and this is the reason this city has been ransacked and built many times.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"},{"id":5,"fact":"According to a survey 10,500 people die in Delhi due to pollution.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"},{"id":6,"fact":"Delhi is largest commercial centre in Northern part of India. Delhi has country’s largest and fastest growing retail industries. Besides that manufacturing of several goods has considerably increased. Nearly 1,440,000 people work in various manufacturing sectors in and around Delhi.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"},{"id":7,"fact":"Indira Gandhi National Airport of Delhi is the city’s main gateway for city’s domestic as well as International civilian air traffic. This is one of the busiest in south Asia.","source_text":"service sutra","source_url":"https://www.servicesutra.com/blog/20-amazing-interesting-facts-about-delhi/"}]
08-05 11:12:43.156 32681  1235 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 11:12:43.158 32681  1236 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-images/1
08-05 11:12:43.159 32681  1236 D CustomInterceptor: HEADER REQUEST
08-05 11:12:43.159 32681  1236 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:43.159 32681  1236 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:43.159 32681  1236 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '9', createCount = '0', putCount = '8', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=9,misses=8,hitRate=52%]', 
08-05 11:12:43.159 32681  1236 D CustomInterceptor: PREFLIB GET REQUEST https://project-travel-mate.herokuapp.com/api/get-city-images/1
08-05 11:12:43.159 32681  1236 D CustomInterceptor: PREFLIB found https://project-travel-mate.herokuapp.com/api/get-city-images/1, sending it back
08-05 11:12:43.159 32681  1236 D CustomInterceptor: CONTENT [{"id":17,"image_url":"https://upload.wikimedia.org/wikipedia/commons/9/94/%E0%B4%96%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%AC%E0%B5%8D_%E0%B4%AE%E0%B4%BF%E0%B4%A8%E0%B4%BE%E0%B5%BC1.jpg"}]
08-05 11:12:43.159 32681  1236 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 11:12:47.444 32681  1358 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-city-information/1
08-05 11:12:47.445 32681  1358 D CustomInterceptor: HEADER REQUEST
08-05 11:12:47.445 32681  1358 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:47.445 32681  1358 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:47.445 32681  1358 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '10', createCount = '0', putCount = '8', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=10,misses=8,hitRate=55%]', 
08-05 11:12:47.445 32681  1358 D CustomInterceptor: PREFLIB GET REQUEST https://project-travel-mate.herokuapp.com/api/get-city-information/1
08-05 11:12:47.445 32681  1358 D CustomInterceptor: PREFLIB found https://project-travel-mate.herokuapp.com/api/get-city-information/1, sending it back
08-05 11:12:47.446 32681  1358 D CustomInterceptor: CONTENT {"Summary":"Delhi (English: ; Hindi: [ˈdɪlːi] Dillī; Punjabi: [ˈdɪlːi] Dillī; Urdu: [ˈdeːɦli] Dēhlī), officially known as the National Capital Territory of Delhi (NCT), is a city and a union territory of India containing New Delhi, the capital of India.It is bordered by the state of Haryana on three sides and by Uttar Pradesh to the east. The NCT covers an area of 1,484 square kilometres (573 sq mi). According to the 2011 census, Delhi's city proper population was over 11 million, the second-highest in India after Mumbai, while the whole NCT's population was about 16.8 million. Delhi's urban area is now considered to extend beyond the NCT boundaries, and include the neighbouring satellite cities of Ghaziabad, Faridabad, Gurgaon and Noida in an area called the National Capital Region (NCR) and had an estimated 2016 population of over 26 million people, making it the world's second-largest urban area according to the United Nations. Recent estimates of the metro economy of its urban area have ranked Delhi either the most or second-most productive metro area of India. Delhi is the second-wealthiest city in India after Mumbai and is home to 18 billionaires and 23,000 millionaires. Delhi ranks fifth among the Indian states and union territories in human development index. Delhi has the second-highest GDP per capita in India. Delhi is of great historical significance as an important commercial, transport, and cultural hub, as well as the political centre of India.Delhi has been continuously inhabited since the 6th century BCE. Through most of its history, Delhi has served as a capital of various kingdoms and empires, most notably the Pandavas, the Delhi Sultanate and the Mughal Empire. The city has been captured, ransacked and rebuilt several times, particularly during the medieval period, and modern Delhi is a cluster of a number of cities spread across the metropolitan region. For many centuries Delhi has been a dominant trading and commercial centre in northern India, and after 1990s it has emerged as an important node in the international corporate and financial network.A union territory, the political administration of the NCT of Delhi today more closely resembles that of a state of India, with its own legislature, high court and an executive council of ministers headed by a Chief Minister. New Delhi is jointly administered by the federal government of India and the local government of Delhi, and serves as the capital of the nation as well as the NCT of Delhi. Delhi hosted the inaugural 1951 Asian Games, 1982 Asian Games, 1983 NAM Summit, 2010 Men's Hockey World Cup, 2010 Commonwealth Games, 2012 BRICS Summit and was one of the major host cities of the 2011 Cricket World Cup.Delhi is also the centre of the National Capital Region (NCR), which is a unique 'interstate regional planning' area created by the National Capital Region Planning Board Act of 1985.","Toponym":"There are a number of myths and legends associated with the origin of the name Delhi. One of them is derived from Dhillu or Dilu, a king who built a city at this location in 50 BCE and named it after himself. Another legend holds that the name of the city is based on the Hindi/Prakrit word dhili (loose) and that it was used by the Tomaras to refer to the city because the iron pillar of Delhi had a weak foundation and had to be moved. According to Panjab Notes and Queries, the name of the city at the time of King Prithviraj was  dilpat, and that dilpat and dilli are probably derived from the old Hindi word dil meaning eminence. The former director of the Archaeological Survey of India, Alexander Cunningham, mentioned that dilli later became dihli/dehli. Some suggest the coins in circulation in the region under the Tomaras were called dehliwal. According to the Bhavishya Purana, King Prithiviraja of Indraprastha built a new fort in the modern-day Purana Qila area for the convenience of all four castes in his kingdom. He ordered the construction of a gateway to the fort and later named the fort dehali.
08-05 11:12:47.446 32681  1358 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 11:12:53.823 32681  1524 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications
08-05 11:12:53.824 32681  1524 D CustomInterceptor: HEADER REQUEST
08-05 11:12:53.824 32681  1524 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:53.824 32681  1524 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
